englishName,fourCode,sciName,sixCode
Scarlet-rumped Tanager,SCRT,Ramphocelus passerinii,RAMPAS
Scarlet-thighed Dacnis,STDA,Dacnis venusta,DACVEN
Scintillant Hummingbird,SCHU,Selasphorus scintilla,SELSCI
Scissor-tailed Flycatcher,STFL,Tyrannus forficatus,TYRFOR
Scott's Oriole,SCOR,Icterus parisorum,ICTPAR
Scripps's Murrelet,SCMU,Synthliboramphus scrippsi,SYNSCR
Scrub Euphonia,SEUP,Euphonia affinis,EUPAFF
Scrub Greenlet,SCRG,Hylophilus flavipes,HYLFLA
Seaside Sparrow,SESP,Ammospiza maritima,AMMMAR
Sedge Warbler,SEWA,Acrocephalus schoenobaenus,ACRSCH
Sedge Wren,SEWR,Cistothorus stellaris,CISSTE
Semipalmated Plover,SEPL,Charadrius semipalmatus,CHASEM
Semipalmated Sandpiper,SESA,Calidris pusilla,CALPUS
Semiplumbeous Hawk,SEHA,Leucopternis semiplumbeus,LEUSEL
Semper's Warbler,SEMW,Leucopeza semperi,LEUSER
Sepia-capped Flycatcher,SECF,Leptopogon amaurocephalus,LEPAMA
Sharp-shinned Hawk,SSHA,Accipiter striatus,ACCSTR
Sharp-tailed Grouse,STGR,Tympanuchus phasianellus,TYMPHA
Sharp-tailed Sandpiper,SPTS,Calidris acuminata,CALACU
Sharp-tailed Sparrow,STSP,Ammospiza nelsoni/caudacuta,AMMNEC
Sharp-tailed Streamcreeper,STST,Lochmias nematura,LOCNEM
Sharpbill,SHAR,Oxyruncus cristatus,OXYCRI
Shining Honeycreeper,SHHO,Cyanerpes lucidus,CYALUC
Shiny Cowbird,SHCO,Molothrus bonariensis,MOLBON
Short-billed Dowitcher,SBDO,Limnodromus griseus,LIMGRI
Short-billed Gull,SBIG,Larus brachyrhynchus,LARBRA
Short-billed Pigeon,SBPI,Patagioenas nigrirostris,PATNIG
Short-crested Coquette,SCCO,Lophornis brachylophus,LOPBRA
Short-eared Owl,SEOW,Asio flammeus,ASIFLA
Short-tailed Albatross,STAL,Phoebastria albatrus,PHOALB
Short-tailed Hawk,STHA,Buteo brachyurus,BUTBRA
Short-tailed Nighthawk,SHTN,Lurocalis semitorquatus,LURSEM
Short-tailed Shearwater,STTS,Ardenna tenuirostris,ARDTEN
Short-tailed Swift,STSW,Chaetura brachyura,CHABRA
Siberian Accentor,SIAC,Prunella montanella,PRUMON
Siberian Blue Robin,SBRO,Larvivora cyane,LARCYA
Siberian Rubythroat,SIRU,Calliope calliope,CALCAP
Sick's Swift,SISW,Chaetura meridionalis,CHAMER
Sierra Madre Sparrow,SMSP,Xenospiza baileyi,XENBAI
Silver-throated Tanager,STTA,Tangara icterocephala,TANICT
Silvery-fronted Tapaculo,SFTA,Scytalopus argentifrons,SCYARG
Silvery-throated Jay,STHJ,Cyanolyca argentigula,CYAARG
Sinaloa Crow,SICR,Corvus sinaloae,CORSIN
Sinaloa Martin,SIMA,Progne sinaloae,PROSIN
Sinaloa Wren,SIWR,Thryophilus sinaloa,THRSIN
Singing Quail,SIQU,Dactylortyx thoracicus,DACTHO
Slate-colored Grosbeak,SCOG,Saltator grossus,SALGRO
Slate-colored Junco,SCJU,Junco hyemalis hyemalis,JUNHHY
Slate-colored Seedeater,SCSE,Sporophila schistacea,SPOSCH
Slate-colored Solitaire,SCSO,Myadestes unicolor,MYAUNI
Slate-headed Tody-Flycatcher,SHTF,Poecilotriccus sylvia,POESYL
Slate-throated Gnatcatcher,STGN,Polioptila schistaceigula,POLSCH
Slate-throated Redstart,STRE,Myioborus miniatus,MYIMIN
Slaty Antwren,SLAN,Myrmotherula schisticolor,MYRSCH
Slaty Finch,SLFI,Haplospiza rustica,HAPRUS
Slaty Flowerpiercer,SLFL,Diglossa plumbea,DIGPLU
Slaty Spinetail,SLSP,Synallaxis brachyura,SYNBRA
Slaty Vireo,SLVI,Vireo brevipennis,VIRBRE
Slaty-backed Forest-Falcon,SBFF,Micrastur mirandollei,MICMIR
Slaty-backed Gull,SBAG,Larus schistisagus,LARSCH
Slaty-backed Nightingale-Thrush,SBNT,Catharus fuscater,CATFUT
Slaty-breasted Tinamou,SBTI,Crypturellus boucardi,CRYBOU
Slaty-capped Flycatcher,SLCF,Leptopogon superciliaris,LEPSUP
Slaty-tailed Trogon,STTR,Trogon massena,TROMAS
Slaty-winged Foliage-gleaner,SWFG,Philydor fuscipenne,PHIFUS
Slender Sheartail,SLSH,Doricha enicura,DORENI
Slender-billed Curlew,SBCU,Numenius tenuirostris,NUMTEN
Slender-billed Grackle,SBGR,Quiscalus palustris,QUIPAL
Slender-billed Kite,SBKI,Helicolestes hamatus,HELHAM
Small Canada Goose,SCGO,Branta canadensis parvipes,BRACPA
Smew,SMEW,Mergellus albellus,MERALB
Smith's Longspur,SMLO,Calcarius pictus,CALPIC
Smoky-brown Woodpecker,SMBW,Dryobates fumigatus,DRYFUM
Smooth-billed Ani,SBAN,Crotophaga ani,CROANI
Snail Kite,SNKI,Rostrhamus sociabilis,ROSSOC
Snow Bunting,SNBU,Plectrophenax nivalis,PLENIV
Snow Goose,SNGO,Anser caerulescens,ANSCAE
Snow X Ross's Goose Hybrid,SRGH,Anser caerulescens x rossii,ANSCAR
Snow/Ross's Goose,SRGO,Anser caerulescens/rossii,ANSCRO
Snowcap,SNOC,Microchera albocoronata,MICALB
Snowy Cotinga,SNCO,Carpodectes nitidus,CARNIT
Snowy Egret,SNEG,Egretta thula,EGRTHU
Snowy Owl,SNOW,Bubo scandiacus,BUBSCA
Snowy Plover,SNPL,Charadrius nivosus,CHANIV
Snowy-bellied Hummingbird,SBEH,Saucerottia edward,SAUEDW
Social Flycatcher,SOFL,Myiozetetes similis,MYISIM
Socorro Dove,SODO,Zenaida graysoni,ZENGRA
Socorro Mockingbird,SOMO,Mimus graysoni,MIMGRA
Socorro Parakeet,SOPA,Psittacara brevipes,PSIBRE
Socorro Wren,SOCW,Troglodytes sissonii,TROSIS
Solitary Eagle,SOEA,Buteogallus solitarius,BUGSOL
Solitary Sandpiper,SOSA,Tringa solitaria,TRISOL
Solitary Snipe,SOSN,Gallinago solitaria,GALSOL
Solitary Vireo,SOVI,Vireo (sp),VIRSPE
Song Sparrow,SOSP,Melospiza melodia,MELMEL
Song Thrush,SOTH,Turdus philomelos,TURPHI
Song Wren,SONW,Cyphorhinus phaeocephalus,CYPPHA
Sooty Grouse,SOGR,Dendragapus fuliginosus,DENFUU
Sooty Shearwater,SOSH,Ardenna grisea,ARDGRI
Sooty Tern,SOTE,Onychoprion fuscatus,ONYFUS
Sooty Thrush,SOOT,Turdus nigrescens,TURNIG
Sooty-capped Chlorospingus,SCCH,Chlorospingus pileatus,CHLPIL
Sooty-faced Finch,SFFI,Arremon crassirostris,ARRCRA
Sooty-headed Tyrannulet,SHTY,Phyllomyias griseiceps,PHYGRI
Sooty-headed Wren,SHWR,Pheugopedius spadix,PHESPA
Sora,SORA,Porzana carolina,PORCAR
South Polar Skua,SPSK,Stercorarius maccormicki,STEMAC
Southern Beardless-Tyrannulet,SOBT,Camptostoma obsoletum,CAMOBS
Southern Bentbill,SOBE,Oncostoma olivaceum,ONCOLI
Southern House-Wren,SOHW,Troglodytes aedon musculus,TROAMU
Southern Lapwing,SOLA,Vanellus chilensis,VANCHI
Southern Martin,SOMA,Progne elegans,PROELE
Southern Rough-winged Swallow,SRWS,Stelgidopteryx ruficollis,STERUF
Southwestern Willow Flycatcher,SWFL,Empidonax traillii extimus,EMPTEX
Spangle-cheeked Tanager,SCHT,Tangara dowii,TANDOW
Sparkling-tailed Hummingbird,SKTH,Tilmatura dupontii,TILDUP
Speckled Mourner,SPMO,Laniocera rufescens,LANRUF
Speckled Tanager,SPTA,Ixothraupis guttata,IXOGUT
Spectacled Eider,SPEI,Somateria fischeri,SOMFIS
Spectacled Owl,SPEO,Pulsatrix perspicillata,PULPER
Spectacled Parrotlet,SPPA,Forpus conspicillatus,FORCON
Spectacled Thrush,SPTH,Turdus nudigenis,TURNUD
Spiny-faced Antshrike,SFAN,Xenornis setifrons,XENSET
Spoon-billed Sandpiper,SBSA,Calidris pygmea,CALPYG
Spot-breasted Oriole,SBOR,Icterus pectoralis,ICTPEC
Spot-breasted Woodpecker,SBWP,Colaptes punctigula,COLPUN
Spot-breasted Wren,SOBW,Pheugopedius maculipectus,PHEMAC
Spot-crowned Antvireo,SPCA,Dysithamnus puncticeps,DYSPUN
Spot-crowned Barbet,SCBA,Capito maculicoronatus,CAPMAC
Spot-crowned Euphonia,SPCE,Euphonia imitans,EUPIMI
Spot-crowned Woodcreeper,SCRW,Lepidocolaptes affinis,LEPAFF
Spot-fronted Swift,SFSW,Cypseloides cherriei,CYPCHE
Spot-tailed Nightjar,SPTN,Hydropsalis maculicaudus,HYDMAU
Spotted Antbird,SPAN,Hylophylax naevioides,HYLNAE
Spotted Barbtail,SPBA,Premnoplex brunnescens,PREBRU
Spotted Crake,SPCR,Porzana porzana,PORPOZ
Spotted Dove,SPDO,Streptopelia chinensis,STRCHI
Spotted Flycatcher,SPFL,Muscicapa striata,MUSSTR
Spotted Owl,SPOW,Strix occidentalis,STROCC
Spotted Rail,SPRA,Pardirallus maculatus,PARMAS
Spotted Redshank,SPRE,Tringa erythropus,TRIERY
Spotted Sandpiper,SPSA,Actitis macularius,ACTMAC
Spotted Towhee,SPTO,Pipilo maculatus,PIPMAC
Spotted Wood-Quail,SPWQ,Odontophorus guttatus,ODOGUT
Spotted Woodcreeper,SPWO,Xiphorhynchus erythropygius,XIPERY
Spotted Wren,SPWR,Campylorhynchus gularis,CAMGUL
Spotted x Barred Owl Hybrid,SBOH,Strix occidentalis x varia,STROCV
Sprague's Pipit,SPPI,Anthus spragueii,ANTSPR
Spruce Grouse,SPGR,Canachites canadensis,CANCAN
Squirrel Cuckoo,SQCU,Piaya cayana,PIACAY
St. Kitts Bullfinch,SKBU,Melopyrrha grandis,MELGRA
St. Lucia Black Finch,SLBF,Melanospiza richardsoni,MELRIC
St. Lucia Oriole,SLOR,Icterus laudabilis,ICTLAU
St. Lucia Parrot,SLPA,Amazona versicolor,AMAVER
St. Lucia Warbler,SLWA,Setophaga delicata,SETDEL
St. Vincent Parrot,SVPA,Amazona guildingii,AMAGUI
Stejneger's Petrel,STPE,Pterodroma longirostris,PTELON
Stejneger's Scoter,STSC,Melanitta stejnegeri,MELSTE
Steller's Eider,STEI,Polysticta stelleri,POLSTE
Steller's Jay,STJA,Cyanocitta stelleri,CYASTE
Steller's Sea-Eagle,STSE,Haliaeetus pelagicus,HALPEL
Stilt Sandpiper,STSA,Calidris himantopus,CALHIM
Stolid Flycatcher,STOF,Myiarchus stolidus,MYISTO
Stonechat,STON,Saxicola torquatus,SAXTOR
Straight-billed Woodcreeper,SGBW,Dendroplex picus,DENPIS
Streak-backed Oriole,SBAO,Icterus pustulatus,ICTPUS
Streak-breasted Treehunter,SBTR,Thripadectes rufobrunneus,THRRUB
Streak-chested Antpitta,SCHA,Hylopezus perspicillatus,HYLPER
Streak-crowned Antvireo,STCA,Dysithamnus striaticeps,DYSSTR
Streak-headed Woodcreeper,SHWO,Lepidocolaptes souleyetii,LEPSOU
Streaked Flycatcher,STRF,Myiodynastes maculatus,MYIMAC
Streaked Saltator,SSAL,Saltator striatipectus,SALSTR
Streaked Shearwater,STRS,Calonectris leucomelas,CALLEU
Streaked Xenops,STXE,Xenops rutilans,XENRUT
Streamertail,STRM,Trochilus polytmus,TROPOL
Striated Heron,STRH,Butorides striata,BUTSTR
Strickland's Woodpecker,STCW,Dryobates stricklandi,DRYSTR
Stripe-breasted Wren,SIBW,Cantorchilus thoracicus,CANTHO
Stripe-cheeked Woodpecker,SCHW,Piculus callopterus,PICCAL
Stripe-headed Sparrow,SHSP,Peucaea ruficauda,PEURUF
Stripe-tailed Hummingbird,STHM,Eupherusa eximia,EUPEXI
Stripe-throated Hermit,STHR,Phaethornis striigularis,PHASTR
Stripe-throated Wren,STWR,Cantorchilus leucopogon,CANLEP
Striped Cuckoo,STCU,Tapera naevia,TAPNAE
Striped Owl,STRO,Asio clamator,ASICLA
Striped Sparrow,SSPA,Oriturus superciliosus,ORISUP
Striped Woodhaunter,STPW,Automolus subulatus,AUTSUB
Strong-billed Woodcreeper,SNBW,Xiphocolaptes promeropirhynchus,XIPPRO
Stub-tailed Spadebill,SBTS,Platyrinchus cancrominus,PLACAN
Stygian Owl,STOW,Asio stygius,ASISTY
Sulphur-bellied Flycatcher,SBFL,Myiodynastes luteiventris,MYILUT
Sulphur-rumped Flycatcher,SRFL,Myiobius sulphureipygius,MYISUL
Sulphur-rumped Tanager,SURT,Heterospingus rubrifrons,HETRUB
Sulphur-winged Parakeet,SWPA,Pyrrhura hoffmanni,PYRHOF
Sumichrast's Wren,SUWR,Hylorchilus sumichrasti,HYLSUM
Summer Tanager,SUTA,Piranga rubra,PIRRUB
Sunbittern,SUNB,Eurypyga helias,EURHEL
Sungrebe,SUNG,Heliornis fulica,HELFUL
Surf Scoter,SUSC,Melanitta perspicillata,MELPER
Surfbird,SURF,Calidris virgata,CALVIR
Sutton's Warbler,SUWA,Setophaga americana x dominica,SETAMD
Swainson's Hawk,SWHA,Buteo swainsoni,BUTSWA
Swainson's Thrush,SWTH,Catharus ustulatus,CATUST
Swainson's Warbler,SWWA,Limnothlypis swainsonii,LIMSWA
Swallow Tanager,SWTA,Tersina viridis,TERVIR
Swallow-tailed Gull,STGU,Creagrus furcatus,CREFUR
Swallow-tailed Kite,STKI,Elanoides forficatus,ELAFOR
Swamp Sparrow,SWSP,Melospiza georgiana,MELGEO
Swinhoe's Storm-Petrel,SSTP,Hydrobates monorhis,HYDMON
Tacarcuna Chlorospingus,TACH,Chlorospingus tacarcunae,CHLTAC
Tacarcuna Tapaculo,TATA,Scytalopus panamensis,SCYPAN
Tacarcuna Warbler,TAWA,Basileuterus tacarcunae,BASTAC
Tacarcuna Wood-Quail,TAWQ,Odontophorus dialeucos,ODODIA
Tahiti Petrel,TAPE,Pseudobulweria rostrata,PSEROS
Taiga Bean-Goose,TABG,Anser fabalis,ANSFAB
Taiga Flycatcher,TAFL,Ficedula albicilla,FICALB
Talamanca Hummingbird,TAHU,Eugenes spectabilis,EUGSPE
Tamaulipas Crow,TACR,Corvus imparatus,CORIMP
Tamaulipas Pygmy-Owl,TAPO,Glaucidium sanchezi,GLASAN
Tawny-breasted Flycatcher,TBFL,Myiobius villosus,MYIVIL
Tawny-capped Euphonia,TCEU,Euphonia anneae,EUPANN
Tawny-chested Flycatcher,TCFL,Aphanotriccus capitalis,APHCAP
Tawny-collared Nightjar,TCNI,Antrostomus salvini,ANTSAL
Tawny-crested Tanager,TCTA,Tachyphonus delatrii,TACDEL
Tawny-crowned Greenlet,TCGR,Tunchiornis ochraceiceps,TUNOCH
Tawny-faced Gnatwren,TFGN,Microbates cinereiventris,MICCIN
Tawny-faced Quail,TFQU,Rhynchortyx cinctus,RHYCIN
Tawny-shouldered Blackbird,TSBL,Agelaius humeralis,AGEHUM
Tawny-throated Leaftosser,TTLE,Sclerurus mexicanus,SCLMEX
Tawny-winged Woodcreeper,TWWO,Dendrocincla anabatina,DENANA
Temminck's Stint,TEST,Calidris temminckii,CALTEM
Tennessee Warbler,TEWA,Leiothlypis peregrina,LEIPER
Terek Sandpiper,TESA,Xenus cinereus,XENCIN
Thayer's Gull,THGU,Larus glaucoides thayeri,LARGTH
Thayer's/Kumlien's Gull,TKGU,Larus glaucoides thayeri/kumleini,LARGTK
Thick-billed Euphonia,TBEU,Euphonia laniirostris,EUPLAN
Thick-billed Kingbird,TBKI,Tyrannus crassirostris,TYRCRA
Thick-billed Longspur,TBLO,Rhynchophanes mccownii,RHYMCC
Thick-billed Murre,TBMU,Uria lomvia,URILOM
Thick-billed Parrot,TBPA,Rhynchopsitta pachyrhyncha,RHYPAC
Thick-billed Seed-Finch,TBSF,Sporophila funerea,SPOFUN
Thick-billed Vireo,TBVI,Vireo crassirostris,VIRCRA
Thick-billed Warbler,TBWA,Arundinax aedon,ARUAED
Thicket Antpitta,THAN,Hylopezus dives,HYLDIV
Thicket Tinamou,THTI,Crypturellus cinnamomeus,CRYCIN
Three-wattled Bellbird,TWBE,Procnias tricarunculatus,PROTRI
Timberline Wren,TIWR,Thryorchilus browni,THRBRO
Tiny Hawk,TIHA,Accipiter superciliosus,ACCSUP
Tody Motmot,TOMO,Hylomanes momotula,HYLMOM
Tooth-billed Hummingbird,TBHU,Androdon aequatorialis,ANDAEQ
Torrent Tyrannulet,TOTY,Serpophaga cinerea,SERCIN
Townsend's Shearwater,TOSH,Puffinus auricularis,PUFAUR
Townsend's Solitaire,TOSO,Myadestes townsendi,MYATOW
Townsend's Storm-Petrel,TOSP,Hydrobates socorroensis,HYDSOC
Townsend's Warbler,TOWA,Setophaga townsendi,SETTOW
Townsend's x Hermit Warbler Hybrid,THWH,Setophaga townsendi x occidentalis,SETTOO
Traill's Flycatcher,TRFL,Empidonax alnorum/traillii,EMPALT
Transvolcanic Jay,TRJA,Aphelocoma ultramarina,APHULT
Tree Pipit,TRPI,Anthus trivialis,ANTTRI
Tree Swallow,TRES,Tachycineta bicolor,TACBIC
Tricolored Blackbird,TRBL,Agelaius tricolor,AGETRI
Tricolored Heron,TRHE,Egretta tricolor,EGRTRI
Tricolored Munia,TRMU,Lonchura malacca,LONMAL
Trindade Petrel,TRPE,Pterodroma arminjoniana,PTEARM
Tristram's Storm-Petrel,TRSP,Hydrobates tristrami,HYDTRI
Tropical Kingbird,TRKI,Tyrannus melancholicus,TYRMEL
Tropical Mockingbird,TRMO,Mimus gilvus,MIMGIL
Tropical Parula,TRPA,Setophaga pitiayumi,SETPIM
Tropical Pewee,TROP,Contopus cinereus,CONCIN
Tropical Screech-Owl,TRSO,Megascops choliba,MEGCHO
Trumpeter Swan,TRUS,Cygnus buccinator,CYGBUC
Tufted Duck,TUDU,Aythya fuligula,AYTFUL
Tufted Flycatcher,TUFL,Mitrephanes phaeocercus,MITPHA
Tufted Jay,TUJA,Cyanocorax dickeyi,CYADIC
Tufted Puffin,TUPU,Fratercula cirrhata,FRACIR
Tufted Titmouse,TUTI,Baeolophus bicolor,BAEBIC
Tundra Bean-Goose,TUBG,Anser serrirostris,ANSSER
Tundra Swan,TUSW,Cygnus columbianus,CYGCOL
Turkey Vulture,TUVU,Cathartes aura,CAEAUR
Turquoise Cotinga,TUCO,Cotinga ridgwayi,COTRID
Turquoise-browed Motmot,TBMO,Eumomota superciliosa,EUMSUP
Tuxtla Quail-Dove,TUQD,Zentrygon carrikeri,ZENCAR
Ula-ai-hawane,UAIH,Ciridops anna,CIRANN
Unicolored Jay,UNJA,Aphelocoma unicolor,APHUNI
Unidentified Accipiter Hawk,UAHA,Accipiter (sp),ACCSPE
Unidentified Bird,UNBI,"Aves (gen, sp)",AVEGSP
Unidentified Blackbird,UNBL,"Icteridae (gen, sp)",ICTGSP
Unidentified Crow,UNCR,Corvus (sp),CORSPE
Unidentified Dowitcher,UNDO,Limnodromus sp.,LIMSPE
Unidentified Duck,UNDU,"Anatinae (gen, sp)",ANAGSP
Unidentified Empidonax Flycatcher,UEFL,Empidonax (sp),EMPSPE
Unidentified Flycatcher,UNFL,"Tyrannidae (gen, sp)",TYRGEN
Unidentified Goose,UNGO,Anserinae (gen. sp.),ANSGSP
Unidentified HaemorhousFinch,UHFI,Haemorhous (sp),HAESPE
Unidentified Hawk,UNHA,"Accipitridae (gen, sp)",ACCGSP
Unidentified Hummingbird,UNHU,"Trochilidae (gen, sp)",TRCGSP
Unidentified Larus Gull,UNLG,Larus (sp),LARSPE
Unidentified Owl,UNOW,"Strigidae (gen, sp)",STRGSP
Unidentified Pewee,UNPE,Contopus (sp.),CONSPE
Unidentified Piranga Tanager,UPTA,Piranga (sp),PIRSPE
Unidentified Poecile Chickadee,UPCH,Poecile (sp),POESPE
Unidentified Sapsucker,UNSA,Sphyrapicus (sp),SPHSPE
Unidentified Selasphorus Hummingbird,USHU,Selaphorus (sp),SELSPS
Unidentified Sparrow,UNSP,"Passerellidae (gen, sp)",PASGSP
Unidentified Swallow,UNSW,"Hirundinidae (gen, sp)",HIRGSP
Unidentified Thrush,UNTH,"Turdidae (gen, sp)",TURGSP
Unidentified Warbler,UNWA,"Parulidae (gen, sp)",PARGSP
Unidentified Woodpecker,UNWO,"Picinae (gen, sp)",PICGSP
Unidentified Wren,UNWR,"Troglodytidae (gen, sp)",TRGGSP
Uniform Crake,UNIC,Amaurolimnas concolor,AMLCON
Unspotted Saw-whet Owl,USWO,Aegolius ridgwayi,AEGRID
Upland Sandpiper,UPSA,Bartramia longicauda,BARLON
Variable Seedeater,VASE,Sporophila corvina,SPOCOR
Varied Bunting,VABU,Passerina versicolor,PASVER
Varied Solitaire,VASO,Myadestes coloratus,MYACOL
Varied Thrush,VATH,Ixoreus naevius,IXONAE
Variegated Flycatcher,VAFL,Empidonomus varius,EMPVAR
Vaux's Swift,VASW,Chaetura vauxi,CHAVAU
Veery,VEER,Catharus fuscescens,CATFUN
Velvet Scoter,VESC,Melanitta fusca,MENFUS
Venezuelan Troupial,VETR,Icterus icterus,ICTICT
Veraguan Mango,VEMA,Anthracothorax veraguensis,ANTVER
Verdin,VERD,Auriparus flaviceps,AURFLA
Vermilion Flycatcher,VEFL,Pyrocephalus rubinus,PYRRUB
Vervain Hummingbird,VEHU,Mellisuga minima,MELMIN
Vesper Sparrow,VESP,Pooecetes gramineus,POOGRA
